==308065== NVPROF is profiling process 308065, command: ./euler3d_adapt ../../data/cfd/fvcorr.domn.097K
==308065== Profiling application: ./euler3d_adapt ../../data/cfd/fvcorr.domn.097K
==308065== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","Unified Memory","Virtual Address","Name","Correlation_ID"
s,ms,,,,,,,,B,B,MB,GB/s,,,,,,B,,,
1.803305,0.001056,,,,,,,,,,,,,,"TITAN Xp (0)",,,4096.000000,"0x7f54d83e7000","[Unified Memory Memcpy HtoD]",
1.803306,0.000992,,,,,,,,,,,,,,"TITAN Xp (0)",,,4096.000000,"0x7f54d83e8000","[Unified Memory Memcpy HtoD]",
1.803307,0.002112,,,,,,,,,,,,,,"TITAN Xp (0)",,,12288.000000,"0x7f54d83e9000","[Unified Memory Memcpy HtoD]",
1.803309,0.001120,,,,,,,,,,,,,,"TITAN Xp (0)",,,4096.000000,"0x7f54d83ec000","[Unified Memory Memcpy HtoD]",
1.803310,0.000992,,,,,,,,,,,,,,"TITAN Xp (0)",,,4096.000000,"0x7f54d83ed000","[Unified Memory Memcpy HtoD]",
1.803311,0.001600,,,,,,,,,,,,,,"TITAN Xp (0)",,,8192.000000,"0x7f54d83ee000","[Unified Memory Memcpy HtoD]",
1.803316,0.005376,,,,,,,,,,,,,,"TITAN Xp (0)",,,40960.000000,"0x7f54d8550000","[Unified Memory Memcpy HtoD]",
1.803321,0.000992,,,,,,,,,,,,,,"TITAN Xp (0)",,,4096.000000,"0x7f54d855a000","[Unified Memory Memcpy HtoD]",
1.803322,0.002720,,,,,,,,,,,,,,"TITAN Xp (0)",,,20480.000000,"0x7f54d855b000","[Unified Memory Memcpy HtoD]",
1.803329,0.093056,,,,,,,,,,,,,,"TITAN Xp (0)",,,"2","0x7f54d825e000","[Unified Memory GPU page faults]",
1.803357,0.022752,,,,,,,,,,,,,,"TITAN Xp (0)",,,253952.000000,"0x7f54d8220000","[Unified Memory Memcpy HtoD]",
